11:49:33.851 [main] INFO  com.cs.dms.DmsApplicationTests - Starting DmsApplicationTests on msc-c51lvz1lt.man.co with PID 15648 (started by sjoshi in /Users/sjoshi/work/cs/dms)
11:49:33.854 [main] DEBUG com.cs.dms.DmsApplicationTests - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
11:49:33.855 [main] INFO  com.cs.dms.DmsApplicationTests - No active profile set, falling back to default profiles: default
11:51:04.921 [main] INFO  com.cs.dms.DmsApplicationTests - Starting DmsApplicationTests on msc-c51lvz1lt.man.co with PID 15669 (started by sjoshi in /Users/sjoshi/work/cs/dms)
11:51:04.924 [main] DEBUG com.cs.dms.DmsApplicationTests - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
11:51:04.925 [main] INFO  com.cs.dms.DmsApplicationTests - No active profile set, falling back to default profiles: default
11:51:08.816 [main] INFO  com.cs.dms.DmsApplicationTests - Started DmsApplicationTests in 4.065 seconds (JVM running for 4.817)
11:52:34.029 [main] INFO  com.cs.dms.Application - Application about to start 
11:52:34.525 [main] INFO  com.cs.dms.Application - Starting Application v0.0.1-SNAPSHOT on msc-c51lvz1lt.man.co with PID 15684 (/Users/sjoshi/work/cs/dms/target/dms-0.0.1-SNAPSHOT.jar started by sjoshi in /Users/sjoshi/work/cs/dms)
11:52:34.525 [main] DEBUG com.cs.dms.Application - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
11:52:34.527 [main] INFO  com.cs.dms.Application - No active profile set, falling back to default profiles: default
11:52:39.878 [main] INFO  com.cs.dms.Application - Started Application in 5.675 seconds (JVM running for 6.274)
11:52:39.881 [main] INFO  com.cs.dms.Application - Inspecting Spring boot beans
11:52:39.882 [main] INFO  com.cs.dms.Application - DMSServiceConfig
11:52:39.882 [main] INFO  com.cs.dms.Application - application
11:52:39.882 [main] INFO  com.cs.dms.Application - applicationConfig
11:52:39.882 [main] INFO  com.cs.dms.Application - auditEventRepository
11:52:39.882 [main] INFO  com.cs.dms.Application - auditEventsEndpoint
11:52:39.882 [main] INFO  com.cs.dms.Application - auditListener
11:52:39.882 [main] INFO  com.cs.dms.Application - beanNameHandlerMapping
11:52:39.882 [main] INFO  com.cs.dms.Application - beansEndpoint
11:52:39.882 [main] INFO  com.cs.dms.Application - characterEncodingFilter
11:52:39.882 [main] INFO  com.cs.dms.Application - classLoaderMetrics
11:52:39.883 [main] INFO  com.cs.dms.Application - conditionsReportEndpoint
11:52:39.883 [main] INFO  com.cs.dms.Application - confService
11:52:39.883 [main] INFO  com.cs.dms.Application - configurationPropertiesReportEndpoint
11:52:39.883 [main] INFO  com.cs.dms.Application - contextCapturingServletTomcatCustomizer
11:52:39.883 [main] INFO  com.cs.dms.Application - controllerEndpointDiscoverer
11:52:39.883 [main] INFO  com.cs.dms.Application - controllerEndpointHandlerMapping
11:52:39.883 [main] INFO  com.cs.dms.Application - controllerExposeExcludePropertyEndpointFilter
11:52:39.883 [main] INFO  com.cs.dms.Application - createHealthStatusHttpMapper
11:52:39.883 [main] INFO  com.cs.dms.Application - dataSource
11:52:39.883 [main] INFO  com.cs.dms.Application - databaseJpaConfig
11:52:39.883 [main] INFO  com.cs.dms.Application - dbHealthIndicator
11:52:39.883 [main] INFO  com.cs.dms.Application - defaultServletHandlerMapping
11:52:39.883 [main] INFO  com.cs.dms.Application - defaultValidator
11:52:39.883 [main] INFO  com.cs.dms.Application - defaultViewResolver
11:52:39.883 [main] INFO  com.cs.dms.Application - diskSpaceHealthIndicator
11:52:39.883 [main] INFO  com.cs.dms.Application - diskSpaceHealthIndicatorProperties
11:52:39.883 [main] INFO  com.cs.dms.Application - dispatcherServlet
11:52:39.884 [main] INFO  com.cs.dms.Application - dispatcherServletMappingDescriptionProvider
11:52:39.884 [main] INFO  com.cs.dms.Application - dispatcherServletRegistration
11:52:39.884 [main] INFO  com.cs.dms.Application - documentService
11:52:39.884 [main] INFO  com.cs.dms.Application - dumpEndpoint
11:52:39.884 [main] INFO  com.cs.dms.Application - emBeanDefinitionRegistrarPostProcessor
11:52:39.884 [main] INFO  com.cs.dms.Application - endpointCachingOperationInvokerAdvisor
11:52:39.884 [main] INFO  com.cs.dms.Application - endpointMediaTypes
11:52:39.884 [main] INFO  com.cs.dms.Application - endpointOperationParameterMapper
11:52:39.884 [main] INFO  com.cs.dms.Application - entityManagerFactory
11:52:39.884 [main] INFO  com.cs.dms.Application - envInfoContributor
11:52:39.884 [main] INFO  com.cs.dms.Application - environmentEndpoint
11:52:39.884 [main] INFO  com.cs.dms.Application - environmentEndpointWebExtension
11:52:39.884 [main] INFO  com.cs.dms.Application - errorPageRegistrarBeanPostProcessor
11:52:39.885 [main] INFO  com.cs.dms.Application - faviconHandlerMapping
11:52:39.885 [main] INFO  com.cs.dms.Application - faviconRequestHandler
11:52:39.885 [main] INFO  com.cs.dms.Application - fileDescriptorMetrics
11:52:39.885 [main] INFO  com.cs.dms.Application - filterMappingDescriptionProvider
11:52:39.885 [main] INFO  com.cs.dms.Application - handlerExceptionResolver
11:52:39.885 [main] INFO  com.cs.dms.Application - healthAggregator
11:52:39.885 [main] INFO  com.cs.dms.Application - healthEndpoint
11:52:39.885 [main] INFO  com.cs.dms.Application - healthEndpointWebExtension
11:52:39.885 [main] INFO  com.cs.dms.Application - healthWebEndpointResponseMapper
11:52:39.885 [main] INFO  com.cs.dms.Application - heapDumpWebEndpoint
11:52:39.885 [main] INFO  com.cs.dms.Application - hiddenHttpMethodFilter
11:52:39.885 [main] INFO  com.cs.dms.Application - hikariDataSourceMetricsPostProcessor
